german,english,part_of_speech,gender,plural,level,frequency_rank
einsam,lonely,adjective,,,B1,1341
einschalten,to turn on,verb,,,B1,1342
einschließlich,including,adjective,,,B1,1343
einsetzen,to insert,verb,,,B1,1344
einsteigen,to get in,verb,,,B1,1345
einstellen,to adjust,verb,,,B1,1346
eintragen,to register,verb,,,B1,1347
eintreten,to enter,verb,,,B1,1348
beeinflussen,to influence,verb,,,B1,1349
einfügen,to insert,verb,,,B1,1350
einführen,to introduce,verb,,,B1,1351
einheitlich,uniform,adjective,,,B1,1352
sich einigen,to agree,verb,,,B1,1353
einkaufen,to shop,verb,,,B1,1354
einladen,to invite,verb,,,B1,1355
einnehmen,to take in,verb,,,B1,1356
gewohnt,accustomed,adjective,,,B1,1357
enden,to end,verb,,,B1,1358
endgültig,final,adjective,,,B1,1359
entdecken,to discover,verb,,,B1,1360
entfernen,to remove,verb,,,B1,1361
entgegenkommen,to come towards,verb,,,B1,1362
enthalten,to contain,verb,,,B1,1363
entlang,along,adjective,,,B1,1364
entlassen,to dismiss,verb,,,B1,1365
einzahlen,to pay in,verb,,,B1,1366
einzeln,individual,adjective,,,B1,1367
einziehen,to move in,verb,,,B1,1368
elegant,elegant,adjective,,,B1,1369
elektrisch,electric,adjective,,,B1,1370
elektronisch,electronic,adjective,,,B1,1371
empfangen,to receive,verb,,,B1,1372
empfehlen,to recommend,verb,,,B1,1373
Fest,party,noun,das,Feste,B1,1374
um,around,preposition,,,B1,1375
werden,to become,verb,,,B1,1376
erkennen,to recognize,verb,,,B1,1377
können,to be able to,verb,,,B1,1378
erzählen,to tell,verb,,,B1,1379
zufrieden,content,verb,,,B1,1380
schlecht,bad,adjective,,,B1,1381
sich ereignen,to occur,verb,,,B1,1382
erfahren,to experience,verb,,,B1,1383
erfinden,to invent,verb,,,B1,1384
erfolgreich,successful,adjective,,,B1,1385
erforderlich,necessary,adjective,,,B1,1386
erfordern,to require,verb,,,B1,1387
erfüllen,to fulfill,verb,,,B1,1388
ergänzen,to supplement,verb,,,B1,1389
erhalten,to receive,verb,,,B1,1390
erhöhen,to increase,verb,,,B1,1391
entscheiden,to decide,verb,,,B1,1392
unentschieden,to decide,verb,,,B1,1393
sich entschließen,to decide,verb,,,B1,1394
entschlossen,to decide,verb,,,B1,1395
entschuldigen,to excuse,verb,,,B1,1396
entsorgen,to dispose of,verb,,,B1,1397
entspannend,relaxing,adjective,,,B1,1398
entstehen,to come into being,verb,,,B1,1399
enttäuschen,to disappoint,verb,,,B1,1400
entwickeln,to develop,verb,,,B1,1401
Zentrum,center,noun,das,Zentren,B1,1402
erledigen,to complete,verb,,,B1,1403
erleichtern,to make easier,verb,,,B1,1404
ernähren,to nourish,verb,,,B1,1405
ernst,serious,adjective,,,B1,1406
ernsthaft,seriously,adjective,,,B1,1407
eröffnen,to open,verb,,,B1,1408
erreichen,to reach,verb,,,B1,1409
erschöpft,exhausted,adjective,,,B1,1410
erschrecken,to frighten or to be frightened,verb,,,B1,1411
ersetzen,to replace,verb,,,B1,1412
erst,only,adjective,,,B1,1413
sich erholen,to recover,verb,,,B1,1414
erinnern,to remember,verb,,,B1,1415
sich erkälten,to catch a cold,verb,,,B1,1416
erkältet,having a cold,adjective,,,B1,1417
erklären,to explain,verb,,,B1,1418
sich erkundigen,to inquire,verb,,,B1,1419
erlauben,to allow,verb,,,B1,1420
erleben,to experience,verb,,,B1,1421
sehr,very,adverb,,,B1,1422
nichts,nothing,adjective,,,B1,1423
gefallen,to please,verb,,,B1,1424
etwas,something,adjective,,,B1,1425
eventuell,possibly,adjective,,,B1,1426
ewig,eternal,adjective,,,B1,1427
extra,extra,adjective,,,B1,1428
extrem,extreme,adjective,,,B1,1429
fahren,to drive,verb,,,B1,1430
erstellen,to create,verb,,,B1,1431
erwachsen,to grow up,verb,,,B1,1432
erwarten,to expect,verb,,,B1,1433
erziehen,to educate,verb,,,B1,1434
es,it,pronoun,,,B1,1435
etwa,approximately,adjective,,,B1,1436
links,on/to the left,adjective,,,B1,1437
kaputt,broken,adjective,,,B1,1438
fantastisch,fantastic,adjective,,,B1,1439
farbig,colorful,adjective,,,B1,1440
fassen,to grasp,verb,,,B1,1441
fast,almost,adjective,,,B1,1442
faul,lazy,adjective,,,B1,1443
faulenzen,to be lazy,verb,,,B1,1444
fehlen,to be missing,verb,,,B1,1445
feiern,to celebrate,verb,,,B1,1446
fair,fair,adjective,,,B1,1447
fallen,to fall,verb,,,B1,1448
fällig,due,adjective,,,B1,1449
falls,in case,adjective,,,B1,1450
falsch,wrong,adjective,,,B1,1451
fangen,to catch,verb,,,B1,1452
fleißig,diligent,adjective,,,B1,1453
feucht,damp,adjective,,,B1,1454
finanzieren,to finance,verb,,,B1,1455
finanziell,financial,adjective,,,B1,1456
finden,to find,verb,,,B1,1457
flach,flat,adjective,,,B1,1458
fernsehen,to watch television,verb,,,B1,1459
fertig,finished,adjective,,,B1,1460
festhalten,to hold onto,verb,,,B1,1461
festlegen,to determine,verb,,,B1,1462
festsetzen,to establish,verb,,,B1,1463
feststehen,to be certain,verb,,,B1,1464
feststellen,to determine,verb,,,B1,1465
Fett,fat,noun,das,Fette,B1,1466
groß,big,adjective,,,B1,1467
fortsetzen,to continue,verb,,,B1,1468
fotografieren,to take a photograph,verb,,,B1,1469
fragen,to ask,verb,,,B1,1470
frech,cheeky,adjective,,,B1,1471
frei,free,adjective,,,B1,1472
flexibel,flexible,adjective,,,B1,1473
fliegen,to fly,verb,,,B1,1474
fliehen,to flee,verb,,,B1,1475
fließen,to flow,verb,,,B1,1476
fließend,fluent,adjective,,,B1,1477
folgen,to follow,verb,,,B1,1478
folgend,following,adjective,,,B1,1479
fordern,to demand,verb,,,B1,1480
fördern,to promote,verb,,,B1,1481
wählen,to choose,verb,,,B1,1482
übernachten,to stay overnight,verb,,,B1,1483
frühstücken,to have breakfast,verb,,,B1,1484
fühlen,to feel,verb,,,B1,1485
führen,to lead,verb,,,B1,1486
funktionieren,to function,verb,,,B1,1487
freiwillig,voluntary,adjective,,,B1,1488
fremd,foreign,adjective,,,B1,1489
fressen,to devour,verb,,,B1,1490
sich freuen,to be glad,verb,,,B1,1491
freundlich,friendly,adjective,,,B1,1492
frieren,to freeze,verb,,,B1,1493
frisch,fresh,adjective,,,B1,1494
froh,happy,adjective,,,B1,1495
fröhlich,cheerful,adjective,,,B1,1496
früh,early,adjective,,,B1,1497
geben,to give,verb,,,B1,1498
gebrauchen,to use,verb,,,B1,1499
furchtbar,terrible/awful,adjective,,,B1,1500
Beispiel,example,noun,das,Beispiele,B2,1501
Verständnis,understanding,noun,das,Verständnisse,B2,1502
Vortrag,lecture,noun,der,Vorträge,B2,1503
Unterschrift,signature,noun,die,Unterschriften,B2,1504
Studium,course of study,noun,das,Studien,B2,1505
Datum,date (a specific point in time),noun,das,Daten,B2,1506
Ernährung,nutrition,noun,die,Ernährungen,B2,1507
Hilfe,help,noun,die,Hilfen,B2,1508
Inhalt,content,noun,der,Inhalte,B2,1509
Alternative,alternative,noun,die,Alternativen,B2,1510
Dauer,duration,noun,die,Dauern,B2,1511
Diskussion,to discuss,verb,,,B2,1512
Produktion,to produce,verb,,,B2,1513
Stufe,step,noun,die,Stufen,B2,1514
Ergebnis,result,noun,das,Ergebnisse,B2,1515
Landwirtschaft,agriculture,noun,die,Landwirtschaften,B2,1516
Leute,people,noun,,Leute,B2,1517
Möglichkeit,possibility,noun,die,Möglichkeiten,B2,1518
Seminar,seminar,noun,das,Seminare,B2,1519
Standpunkt,Point of view,noun,der,Standpunkte,B2,1520
Alltag,everyday life,noun,der,Alltage,B2,1521
Bereich,area,noun,der,Bereiche,B2,1522
Fortsetzung,continuation,noun,die,Fortsetzungen,B2,1523
Freizeit,leisure time,noun,die,Freizeiten,B2,1524
Fähigkeit,ability,noun,die,Fähigkeiten,B2,1525
Leistung,achievement,noun,die,Leistungen,B2,1526
Abschluss,completion,noun,der,Abschlüsse,B2,1527
Anzahl,number,noun,die,Anzahlen,B2,1528
Arbeiter,worker,noun,der,Arbeiter,B2,1529
Aussprache,pronunciation,noun,die,Aussprachen,B2,1530
Erfolg,success,noun,der,Erfolge,B2,1531
Gefahr,danger,noun,die,Gefahren,B2,1532
Gemüse,vegetables,noun,das,Gemüse,B2,1533
Geschichte,history,noun,die,Geschichten,B2,1534
Grund,reason,noun,der,Gründe,B2,1535
Kraft,strength,noun,die,Kräfte,B2,1536
Literatur,literature,noun,die,Literaturen,B2,1537
Politiker,politician,noun,der,Politiker,B2,1538
Professor,professor,noun,der,Professoren,B2,1539
Radfahrer,Cyclist,noun,der,Radfahrer,B2,1540
Rolle,role,noun,die,Rollen,B2,1541
Salat,salad,noun,der,Salate,B2,1542
Semester,semester,noun,das,Semester,B2,1543
Supermarkt,supermarket,noun,der,Supermärkte,B2,1544
Universität,University,noun,die,Universitäten,B2,1545
Unterricht,lesson or instruction,noun,der,Unterrichte,B2,1546
Versuch,attempt,noun,der,Versuche,B2,1547
Werbung,Advertising,noun,die,Werbungen,B2,1548
Wissenschaft,Science,noun,die,Wissenschaften,B2,1549
Zukunft,future,noun,die,Zukünfte,B2,1550
Altersheim,old people's home,noun,das,Altersheime,B2,1551
Angst,fear,noun,die,Ängste,B2,1552
Anmeldung,registration,noun,die,Anmeldungen,B2,1553
Antrag,application,noun,der,Anträge,B2,1554
Bauernhof,farm,noun,der,Bauernhöfe,B2,1555
Beruf,profession,noun,der,Berufe,B2,1556
Bevölkerung,population,noun,die,Bevölkerungen,B2,1557
Bewegung,movement,noun,die,Bewegungen,B2,1558
Bewohner,inhabitant,noun,der,Bewohner,B2,1559
Bildschirm,screen,noun,der,Bildschirme,B2,1560
Breite,width,noun,die,Breiten,B2,1561
Daten,to date,verb,,,B2,1562
Druck,pressure,noun,der,Drücke,B2,1563
Eisenbahn,to drive,verb,,,B2,1564
Eltern,parents,noun,,,B2,1565
Entscheidung,decision,noun,die,Entscheidungen,B2,1566
Fahrrad,bicycle,noun,das,Fahrräder,B2,1567
Fenster,window,noun,das,Fenster,B2,1568
Flüssigkeit,liquid,noun,die,Flüssigkeiten,B2,1569
Forum,forum,noun,das,Foren,B2,1570
Freiheit,freedom,noun,die,Freiheiten,B2,1571
Fremdsprache,foreign language,noun,die,Fremdsprachen,B2,1572
Garantie,guarantee,noun,die,Garantien,B2,1573
Garderobe,wardrobe,noun,die,Garderoben,B2,1574
Gemeinschaft,community,noun,die,Gemeinschaften,B2,1575
Gesellschaft,society,noun,die,Gesellschaften,B2,1576
Handy,mobile phone,noun,das,Handys,B2,1577
Heimat,Homeland or native place,noun,die,Heimaten,B2,1578
Hörer,listener,noun,der,Hörer,B2,1579
Institut,Institute,noun,das,Institute,B2,1580
Koffer,suitcase,noun,der,Koffer,B2,1581
Kranke,patient,noun,,Kranke,B2,1582
Krankheit,illness,noun,die,Krankheiten,B2,1583
Kreditkarte,credit card,noun,die,Kreditkarten,B2,1584
Kühlschrank,refrigerator,noun,der,Kühlschränke,B2,1585
Liebe,love,noun,die,Lieben,B2,1586
Linie,line,noun,die,Linien,B2,1587
Medikament,medication,noun,das,Medikamente,B2,1588
Nachfrage,demand,noun,die,Nachfragen,B2,1589
Natur,nature,noun,die,Natur,B2,1590
Polizei,police,noun,die,Polizeien,B2,1591
Qualifikation,to qualify,verb,,,B2,1592
Referat,A report or presentation,noun,das,Referate,B2,1593
Regen,to stir,verb,,,B2,1594
Reihenfolge,order or sequence of items,noun,die,Reihenfolgen,B2,1595
Rücksicht,Consideration,noun,die,Rücksichten,B2,1596
Schwierigkeit,difficulty,noun,die,Schwierigkeiten,B2,1597
Senioren,seniors,verb,,,B2,1598
Sicherheit,safety,noun,die,Sicherheiten,B2,1599
Sprechstunde,office hour,noun,die,Sprechstunden,B2,1600
Strom,electric current,noun,der,Ströme,B2,1601
Studie,study,noun,die,Studien,B2,1602
Studio,studio (a place for artistic or professional work,noun,das,Studios,B2,1603
Störung,Disturbance,noun,die,Störungen,B2,1604
Sucht,addiction,noun,die,Süchte,B2,1605
Szene,scene (a setting or sequence in a play,noun,die,Szenen,B2,1606
Temperatur,temperature (a measure of the degree of heat or cold),noun,die,Temperaturen,B2,1607
Tätigkeit,activity,noun,die,Tätigkeiten,B2,1608
Unterschied,difference,noun,der,Unterschiede,B2,1609
Ursache,cause,noun,die,Ursachen,B2,1610
Verantwortung,responsibility,noun,die,Verantwortungen,B2,1611
Vergleich,comparison,noun,der,Vergleiche,B2,1612
Verlust,loss,noun,der,Verluste,B2,1613
Vorbereitung,preparation,noun,die,Vorbereitungen,B2,1614
Vorteil,advantage,noun,der,Vorteile,B2,1615
Wissenschaftler,scientist,noun,der,Wissenschaftler,B2,1616
Überschrift,heading or title,noun,die,Überschriften,B2,1617
goethe-zertifikat,goethe-zertifikat,adjective,,,B2,1618
modellsatz,modellsatz,adjective,,,B2,1619
minuten,minuten,verb,,,B2,1620
kandidatenblätter,kandidatenblätter,adjective,,,B2,1621
angemessen,angemessen,verb,,,B2,1622
aufgaben,aufgaben,verb,,,B2,1623
richtige,richtige,adjective,,,B2,1624
punkte,punkte,adjective,,,B2,1625
gerster,gerster,adjective,,,B2,1626
version,version,adjective,,,B2,1627
circa,circa,adjective,,,B2,1628
dinge,dinge,adjective,,,B2,1629
fleisch,fleisch,adjective,,,B2,1630
bewertende,bewertende,adjective,,,B2,1631
menschen,menschen,verb,,,B2,1632
neuhaus,neuhaus,adjective,,,B2,1633
ptn-nr,ptn-nr,adjective,,,B2,1634
teilnehmende,teilnehmende,adjective,,,B2,1635
griffe,griffe,adjective,,,B2,1636
informationen,informationen,verb,,,B2,1637
internet,internet,adjective,,,B2,1638
lösungen,lösungen,verb,,,B2,1639
erfüllung,erfüllung,adjective,,,B2,1640
modular,modular,adjective,,,B2,1641
teilweise,teilweise,adjective,,,B2,1642
trächtigen,trächtigen,verb,,,B2,1643
überwiegend,überwiegend,adjective,,,B2,1644
kohärenz,kohärenz,adjective,,,B2,1645
prüferblätter,prüferblätter,adjective,,,B2,1646
teile,teile,adjective,,,B2,1647
allem,allem,adjective,,,B2,1648
nachname,nachname,adjective,,,B2,1649
personen,personen,verb,,,B2,1650
sekunden,sekunden,verb,,,B2,1651
texte,texte,adjective,,,B2,1652
arbeitszeit,arbeitszeit,adjective,,,B2,1653
bewertet,bewertet,adjective,,,B2,1654
institution,institution,adjective,,,B2,1655
lücke,lücke,adjective,,,B2,1656
nachteile,nachteile,adjective,,,B2,1657
plastikverpackungen,plastikverpackungen,verb,,,B2,1658
vorgeschlagene,vorgeschlagene,adjective,,,B2,1659
argumente,argumente,adjective,,,B2,1660
bewertung,bewertung,adjective,,,B2,1661
bewertungskriterien,bewertungskriterien,verb,,,B2,1662
cfrau,cfrau,adjective,,,B2,1663
experten,experten,verb,,,B2,1664
füllen,füllen,verb,,,B2,1665
geburtsdatum,geburtsdatum,adjective,,,B2,1666
goethe-institut,goethe-institut,adjective,,,B2,1667
korrektur,korrektur,adjective,,,B2,1668
kurzen,kurzen,verb,,,B2,1669
ländern,ländern,adjective,,,B2,1670
münchen,münchen,verb,,,B2,1671
patienten,patienten,verb,,,B2,1672
strukturen,strukturen,verb,,,B2,1673
vielen,vielen,verb,,,B2,1674
welche,welche,adjective,,,B2,1675
bewertungsbogen,bewertungsbogen,verb,,,B2,1676
darüber,darüber,adjective,,,B2,1677
deutschland,deutschland,adjective,,,B2,1678
eigene,eigene,adjective,,,B2,1679
endgeräte,endgeräte,adjective,,,B2,1680
erlaubt,erlaubt,adjective,,,B2,1681
fehlgriffe,fehlgriffe,adjective,,,B2,1682
gerne,gerne,adjective,,,B2,1683
gesprächspartner,gesprächspartner,adjective,,,B2,1684
gliedrig,gliedrig,adjective,,,B2,1685
handys,handys,adjective,,,B2,1686
ihren,ihren,verb,,,B2,1687
ihrer,ihrer,adjective,,,B2,1688
insekten,insekten,verb,,,B2,1689
interaktion,interaktion,adjective,,,B2,1690
mobile,mobile,adjective,,,B2,1691
stellenweise,stellenweise,adjective,,,B2,1692
wohngemeinschaften,wohngemeinschaften,verb,,,B2,1693
wörterbücher,wörterbücher,adjective,,,B2,1694
zuordnung,zuordnung,adjective,,,B2,1695
alternativen,alternativen,verb,,,B2,1696
beeinträchtigen,beeinträchtigen,verb,,,B2,1697
beherrschung,beherrschung,adjective,,,B2,1698
berlin,berlin,adjective,,,B2,1699
bewerten,bewerten,verb,,,B2,1700
bleibt,bleibt,adjective,,,B2,1701
deutschen,deutschen,verb,,,B2,1702
differenziert,differenziert,adjective,,,B2,1703
eines,eines,adjective,,,B2,1704
falschrichtig,falschrichtig,adjective,,,B2,1705
freunde,freunde,adjective,,,B2,1706
genauer,genauer,adjective,,,B2,1707
gesamtergebnis,gesamtergebnis,adjective,,,B2,1708
gesprächspartnerin,gesprächspartnerin,adjective,,,B2,1709
heutzutage,heutzutage,adjective,,,B2,1710
ideen,ideen,verb,,,B2,1711
kinigard,kinigard,adjective,,,B2,1712
konzentriert,konzentriert,adjective,,,B2,1713
liebsten,liebsten,verb,,,B2,1714
luxus,luxus,adjective,,,B2,1715
notizen,notizen,verb,,,B2,1716
partneradäquat,partneradäquat,adjective,,,B2,1717
plastiktüte,plastiktüte,adjective,,,B2,1718
psvorname,psvorname,adjective,,,B2,1719
sollten,sollten,verb,,,B2,1720
spektrum,spektrum,adjective,,,B2,1721
sprechweise,sprechweise,adjective,,,B2,1722
standpunkte,standpunkte,adjective,,,B2,1723
stunden,stunden,verb,,,B2,1724
sätze,sätze,adjective,,,B2,1725
touristen,touristen,verb,,,B2,1726
transkripte,transkripte,adjective,,,B2,1727
umrechnung,umrechnung,adjective,,,B2,1728
unserer,unserer,adjective,,,B2,1729
vereinzelte,vereinzelte,adjective,,,B2,1730
vorbereitungszeit,vorbereitungszeit,adjective,,,B2,1731
wörter,wörter,adjective,,,B2,1732
überblick,überblick,adjective,,,B2,1733
ablenkungen,ablenkungen,verb,,,B2,1734
abweichungen,abweichungen,verb,,,B2,1735
adäquat,adäquat,adjective,,,B2,1736
anonym,anonym,adjective,,,B2,1737
becker,becker,adjective,,,B2,1738
beträgt,beträgt,adjective,,,B2,1739
beurteilen,beurteilen,verb,,,B2,1740
blauen,blauen,verb,,,B2,1741
brauche,brauche,adjective,,,B2,1742
claudia,claudia,adjective,,,B2,1743
computer,computer,adjective,,,B2,1744
darum,darum,adjective,,,B2,1745
darunter,darunter,adjective,,,B2,1746
digitale,digitale,adjective,,,B2,1747
e-mails,e-mails,adjective,,,B2,1748
entsprechend,entsprechend,adjective,,,B2,1749
erheblich,erheblich,adjective,,,B2,1750
europäischer,europäischer,adjective,,,B2,1751
foren,foren,verb,,,B2,1752
freunden,freunden,verb,,,B2,1753
funktionen,funktionen,verb,,,B2,1754
gemeinsamer,gemeinsamer,adjective,,,B2,1755
gespräche,gespräche,adjective,,,B2,1756
hause,hause,adjective,,,B2,1757
ihrem,ihrem,adjective,,,B2,1758
inhaltspunkte,inhaltspunkte,adjective,,,B2,1759
jahren,jahren,verb,,,B2,1760
jedem,jedem,adjective,,,B2,1761
kenntnissen,kenntnissen,verb,,,B2,1762
kollegen,kollegen,verb,,,B2,1763
kommt,kommt,adjective,,,B2,1764
konnten,konnten,verb,,,B2,1765
krankheiten,krankheiten,verb,,,B2,1766
kriterien,kriterien,verb,,,B2,1767
leistungsbeispiele,leistungsbeispiele,adjective,,,B2,1768
milch,milch,adjective,,,B2,1769
nehme,nehme,adjective,,,B2,1770
nimmt,nimmt,adjective,,,B2,1771
nächster,nächster,adjective,,,B2,1772
punkten,punkten,verb,,,B2,1773
referenzrahmen,referenzrahmen,verb,,,B2,1774
ruhepausen,ruhepausen,verb,,,B2,1775
schwarzen,schwarzen,verb,,,B2,1776
sowohl,sowohl,adjective,,,B2,1777
spart,spart,adjective,,,B2,1778
sprachlich,sprachlich,adjective,,,B2,1779
strukturenschatz,strukturenschatz,adjective,,,B2,1780
teilzeitstudiums,teilzeitstudiums,adjective,,,B2,1781
touristinnen,touristinnen,verb,,,B2,1782
verschiedene,verschiedene,adjective,,,B2,1783
vorteile,vorteile,adjective,,,B2,1784
wasser,wasser,adjective,,,B2,1785
wohnformen,wohnformen,verb,,,B2,1786
äußern,äußern,adjective,,,B2,1787
äußerung,äußerung,adjective,,,B2,1788
abschnitte,abschnitte,adjective,,,B2,1789
abstrakten,abstrakten,verb,,,B2,1790
allen,allen,verb,,,B2,1791
allgemeine,allgemeine,adjective,,,B2,1792
anbau,anbau,adjective,,,B2,1793
angebote,angebote,adjective,,,B2,1794
ansatzweise,ansatzweise,adjective,,,B2,1795
anschließend,anschließend,adjective,,,B2,1796
anteil,anteil,adjective,,,B2,1797
arbeitsmodell,arbeitsmodell,adjective,,,B2,1798
arbeitssituation,arbeitssituation,adjective,,,B2,1799
arbeitstechniken,arbeitstechniken,verb,,,B2,1800
arztgespräch,arztgespräch,adjective,,,B2,1801
aufgabenerfüllung,aufgabenerfüllung,adjective,,,B2,1802
aufschreibt,aufschreibt,adjective,,,B2,1803
ausdrücken,ausdrücken,verb,,,B2,1804
aussagen,aussagen,verb,,,B2,1805
austausch,austausch,adjective,,,B2,1806
autos,autos,adjective,,,B2,1807
bargeld,bargeld,adjective,,,B2,1808
bearbeitet,bearbeitet,adjective,,,B2,1809
beeinträchtigt,beeinträchtigt,adjective,,,B2,1810
begrüße,begrüße,adjective,,,B2,1811
benutze,benutze,adjective,,,B2,1812
beschwerden,beschwerden,verb,,,B2,1813
besitz,besitz,adjective,,,B2,1814
bessere,bessere,adjective,,,B2,1815
betriebe,betriebe,adjective,,,B2,1816
betrieben,betrieben,verb,,,B2,1817
beurteilung,beurteilung,adjective,,,B2,1818
bewbo-sa,bewbo-sa,adjective,,,B2,1819
bilder,bilder,adjective,,,B2,1820
colourbox,colourbox,adjective,,,B2,1821
daf-prüfungen,daf-prüfungen,verb,,,B2,1822
damen,damen,verb,,,B2,1823
darauf,darauf,adjective,,,B2,1824
dargestellt,dargestellt,adjective,,,B2,1825
dauert,dauert,adjective,,,B2,1826
debatte,debatte,adjective,,,B2,1827
debattierclubs,debattierclubs,adjective,,,B2,1828
derzeit,derzeit,adjective,,,B2,1829
deutsche,deutsche,adjective,,,B2,1830
digitaler,digitaler,adjective,,,B2,1831
durchgehend,durchgehend,adjective,,,B2,1832
ebert,ebert,adjective,,,B2,1833
einblick,einblick,adjective,,,B2,1834
einfache,einfache,adjective,,,B2,1835
einflüsse,einflüsse,adjective,,,B2,1836
eingesetzt,eingesetzt,adjective,,,B2,1837
einige,einige,adjective,,,B2,1838
einkaufstüte,einkaufstüte,adjective,,,B2,1839
einträchtigen,einträchtigen,verb,,,B2,1840
einzelne,einzelne,adjective,,,B2,1841
einzelprüfung,einzelprüfung,adjective,,,B2,1842
einzige,einzige,adjective,,,B2,1843
englisch,englisch,adjective,,,B2,1844
erbsen,erbsen,verb,,,B2,1845
erfahrungen,erfahrungen,verb,,,B2,1846
erkennbar,erkennbar,adjective,,,B2,1847
erster,erster,adjective,,,B2,1848
europäer,europäer,adjective,,,B2,1849
europäerinnen,europäerinnen,verb,,,B2,1850
fairness,fairness,adjective,,,B2,1851
findet,findet,adjective,,,B2,1852
fleischkonsum,fleischkonsum,adjective,,,B2,1853
fleischproduktion,fleischproduktion,adjective,,,B2,1854
folgender,folgender,adjective,,,B2,1855
forumsbeitrag,forumsbeitrag,adjective,,,B2,1856
fotos,fotos,adjective,,,B2,1857
freier,freier,adjective,,,B2,1858
geachtet,geachtet,adjective,,,B2,1859
gedanken,gedanken,verb,,,B2,1860
gedächtnis,gedächtnis,adjective,,,B2,1861
gemeinschaften,gemeinschaften,verb,,,B2,1862
gesprächspartnerinnen,gesprächspartnerinnen,verb,,,B2,1863
gesprächspartners,gesprächspartners,adjective,,,B2,1864
gesundheit,gesundheit,adjective,,,B2,1865
großen,großen,verb,,,B2,1866
großer,großer,adjective,,,B2,1867
großstädten,großstädten,verb,,,B2,1868
gründe,gründe,adjective,,,B2,1869
halte,halte,adjective,,,B2,1870
hauptteil,hauptteil,adjective,,,B2,1871
heißt,heißt,adjective,,,B2,1872
herren,herren,verb,,,B2,1873
herrn,herrn,adjective,,,B2,1874
herzlichen,herzlichen,verb,,,B2,1875
hilfreich,hilfreich,adjective,,,B2,1876
hilft,hilft,adjective,,,B2,1877
ihres,ihres,adjective,,,B2,1878
individualisierte,individualisierte,adjective,,,B2,1879
inhaltlich,inhaltlich,adjective,,,B2,1880
inhaltsverzeichnis,inhaltsverzeichnis,adjective,,,B2,1881
insbesondere,insbesondere,adjective,,,B2,1882
insektenriegel,insektenriegel,adjective,,,B2,1883
jahrhunderts,jahrhunderts,adjective,,,B2,1884
kalorien,kalorien,verb,,,B2,1885
katharina,katharina,adjective,,,B2,1886
keiner,keiner,adjective,,,B2,1887
kennt,kennt,adjective,,,B2,1888
kinder,kinder,adjective,,,B2,1889
kleine,kleine,adjective,,,B2,1890
kollegin,kollegin,adjective,,,B2,1891
kriterium,kriterium,adjective,,,B2,1892
kutsche,kutsche,adjective,,,B2,1893
käfer,käfer,adjective,,,B2,1894
lebensmittelproduktion,lebensmittelproduktion,adjective,,,B2,1895
leeren,leeren,verb,,,B2,1896
leistungen,leistungen,verb,,,B2,1897
liegt,liegt,adjective,,,B2,1898
loredana,loredana,adjective,,,B2,1899
lässt,lässt,adjective,,,B2,1900
löbo-mse-hv,löbo-mse-hv,adjective,,,B2,1901
manchen,manchen,verb,,,B2,1902
mediziner,mediziner,adjective,,,B2,1903
mehreren,mehreren,verb,,,B2,1904
meisten,meisten,verb,,,B2,1905
mitbewohner,mitbewohner,adjective,,,B2,1906
mithilfe,mithilfe,adjective,,,B2,1907
motivation,motivation,adjective,,,B2,1908
msvorname,msvorname,adjective,,,B2,1909
mühsam,mühsam,adjective,,,B2,1910
nachweis,nachweis,adjective,,,B2,1911
niveau,niveau,adjective,,,B2,1912
nomade,nomade,adjective,,,B2,1913
nomaden,nomaden,verb,,,B2,1914
nomadentum,nomadentum,adjective,,,B2,1915
nummernschild,nummernschild,adjective,,,B2,1916
nutzpflanzen,nutzpflanzen,verb,,,B2,1917
orten,orten,verb,,,B2,1918
oskar-von-miller-ring,oskar-von-miller-ring,adjective,,,B2,1919
paarprüfung,paarprüfung,adjective,,,B2,1920
persönliche,persönliche,adjective,,,B2,1921
persönlichen,persönlichen,verb,,,B2,1922
persönlichkeit,persönlichkeit,adjective,,,B2,1923
phologie,phologie,adjective,,,B2,1924
prechen,prechen,verb,,,B2,1925
produkte,produkte,adjective,,,B2,1926
professoren,professoren,verb,,,B2,1927
professorinnen,professorinnen,verb,,,B2,1928
prozent,prozent,adjective,,,B2,1929
punktzahl,punktzahl,adjective,,,B2,1930
ratsuchende,ratsuchende,adjective,,,B2,1931
realisierung,realisierung,adjective,,,B2,1932
redner,redner,adjective,,,B2,1933
regelstudienzeit,regelstudienzeit,adjective,,,B2,1934
register,register,adjective,,,B2,1935
reguliert,reguliert,adjective,,,B2,1936
repertoire,repertoire,adjective,,,B2,1937
restaurants,restaurants,adjective,,,B2,1938
richtet,richtet,adjective,,,B2,1939
rocca,rocca,adjective,,,B2,1940
sachen,sachen,verb,,,B2,1941
satzteilen,satzteilen,verb,,,B2,1942
schatz,schatz,adjective,,,B2,1943
schlechter,schlechter,adjective,,,B2,1944
seine,seine,adjective,,,B2,1945
seltener,seltener,adjective,,,B2,1946
seniorin,seniorin,adjective,,,B2,1947
sieht,sieht,adjective,,,B2,1948
sojabohnen,sojabohnen,verb,,,B2,1949
solche,solche,adjective,,,B2,1950
sommer,sommer,adjective,,,B2,1951
sprachfunktionen,sprachfunktionen,verb,,,B2,1952
standardsprache,standardsprache,adjective,,,B2,1953
stattdessen,stattdessen,verb,,,B2,1954
steht,steht,adjective,,,B2,1955
